Wall time,Step,Value
1745670869.7118866,1,0.30216482281684875
1745670958.8081524,2,0.15017281472682953
1745671044.8718753,3,0.3996725380420685
1745671130.8339663,4,0.45406585931777954
1745671219.3668094,5,0.6049663424491882
1745671307.3214574,6,0.4947243928909302
1745671393.0761104,7,0.5410223603248596
1745671478.3353415,8,0.007276696152985096
1745671563.6429586,9,0.44660723209381104
1745671648.6805177,10,0.5776787400245667
1745671733.4612806,11,0.40085500478744507
1745671819.0662389,12,0.5577587485313416
1745671904.2389994,13,0.4104056656360626
1745671989.5458846,14,0.5394760966300964
1745672075.8038368,15,0.5523921847343445
1745672163.107037,16,0.5470256209373474
1745672249.2891562,17,0.43360012769699097
1745672334.7733378,18,0.5550299882888794
1745672420.8003418,19,0.4109514355659485
1745672506.9645643,20,0.5291067957878113
